id,country_code1,hour,clicked
0,MM,22,1
1,UY,18,0
2,KN,4,0
3,DM,16,1
4,DO,8,0
5,MR,8,1
6,TG,8,0
7,TH,1,1
8,SL,23,1
9,SC,13,1
10,MM,3,0
11,TO,2,0
12,CN,7,1
13,GQ,0,1
14,DJ,15,1
15,KP,13,1
16,HN,14,0
17,SM,18,0
18,TT,18,0
19,LB,16,0
20,EC,1,1
21,SL,2,0
22,BB,1,0
23,MR,22,1
24,TG,4,0
25,NE,15,0
26,HN,15,1
27,UZ,3,0
28,WS,13,0
29,TZ,4,1
30,CN,7,0
31,NI,23,1
32,LV,1,1
33,TO,9,0
34,SZ,10,1
35,MD,17,0
36,CI,11,1
37,ER,7,0
38,FI,14,1
39,IT,20,1
40,LV,20,1
41,HN,19,1
42,CL,10,0
43,JP,15,0
44,RW,16,1
45,IL,14,1
46,CL,20,0
47,SM,17,0
48,TO,11,1
49,CI,10,0
50,TN,0,1
51,OM,15,0
52,SV,20,1
53,BB,23,0
54,GW,7,0
55,BR,19,0
56,ZW,9,1
57,ET,3,1
58,UA,9,0
59,CY,7,1
60,AL,22,1
61,SA,19,0
62,IT,1,1
63,DO,1,0
64,MW,18,1
65,GT,20,1
66,SI,10,1
67,VC,17,1
68,SG,13,0
69,AG,0,1
70,LU,22,1
71,AZ,14,1
72,NG,2,1
73,SN,14,0
74,GT,4,0
75,CY,7,1
76,ZA,17,0
77,FR,20,1
78,SO,22,0
79,KZ,23,1
80,TO,16,0
81,SB,4,1
82,LI,15,0
83,SE,4,0
84,FJ,3,0
85,CA,18,1
86,IR,10,0
87,GH,15,0
88,EC,16,1
89,PA,13,0
90,MD,21,1
91,NP,17,0
92,IS,4,0
93,CN,8,1
94,DK,24,1
95,BT,7,0
96,LA,12,1
97,KN,24,0
98,DE,4,1
99,AL,14,1
100,LA,5,0
101,BN,18,0
102,TJ,14,1
103,KE,2,0
104,GM,17,0
105,BY,6,0
106,TM,11,0
107,VC,9,0
108,GT,2,0
109,FR,2,1
110,DZ,3,1
111,ET,6,1
112,SA,22,0
113,EG,0,0
114,CI,13,1
